origin,year,citation_num,works_cited_num,lat,long
"中国图书馆学报,",2001,109,109,39.988010,116.311798
"中国图书馆学报,",2001,270,270,41.908506,123.409541
"中国图书馆学报,",2001,270,270,30.263678,120.122388
"中国图书馆学报,",2001,139,137,27.840750,112.948971
"中国图书馆学报,",2001,106,106,22.530941,113.391546
"中国图书馆学报,",2001,128,123,41.908506,123.409541
"中国图书馆学报,",2001,255,248,30.630869,104.083748
"中国图书馆学报,",2002,103,102,22.530892,113.391838
"中国图书馆学报,",2002,103,103,39.988010,116.311798
"中国图书馆学报,",2002,120,120,27.895386,112.921511
"中国图书馆学报,",2002,190,190,29.636515,106.310865
"中国图书馆学报,",2002,109,108,32.042554,118.795471
"中国图书馆学报,",2002,191,191,31.206910,121.445183
"中国图书馆学报,",2002,131,129,27.840750,112.948971
"中国图书馆学报,",2002,146,146,39.998650,116.349388
"中国图书馆学报,",2002,132,132,44.570453,129.623153
"中国图书馆学报,",2002,182,182,32.055015,118.779430
"中国图书馆学报,",2002,313,311,22.534875,113.921946
"中国图书馆学报,",2002,189,189,45.748959,126.684756
"中国图书馆学报,",2002,376,374,39.972237,116.315956
"中国图书馆学报,",2002,111,111,23.024300,113.096578
"中国图书馆学报,",2003,116,112,39.105308,117.159500
"中国图书馆学报,",2003,165,164,40.411160,116.715622
"中国图书馆学报,",2003,117,115,30.537860,114.365248
"中国图书馆学报,",2003,116,116,30.536482,114.374888
"中国图书馆学报,",2003,134,133,30.535956,114.362712
"中国图书馆学报,",2003,200,200,44.570453,129.623153
"中国图书馆学报,",2003,141,141,30.535956,114.362712
"中国图书馆学报,",2003,110,110,34.656258,112.478854
"中国图书馆学报,",2004,460,442,30.536748,114.375043
"中国图书馆学报,",2004,373,368,31.227938,121.404680
"中国图书馆学报,",2004,111,110,36.200252,117.087614
"中国图书馆学报,",2004,118,117,45.654350,126.625053
"中国图书馆学报,",2004,130,130,31.207466,121.444693
"中国图书馆学报,",2004,240,236,39.988010,116.311798
"中国图书馆学报,",2005,122,122,40.411160,116.715622
"中国图书馆学报,",2005,114,104,36.704000,119.145000
"中国图书馆学报,",2005,129,127,39.986829,116.324257
"中国图书馆学报,",2005,197,197,30.535956,114.362712
"中国图书馆学报,",2006,406,392,40.411160,116.715622
"中国图书馆学报,",2006,104,103,30.262746,120.120629
"中国图书馆学报,",2007,125,119,30.536748,114.375043
"中国图书馆学报,",2008,100,100,30.536748,114.375043
"中国图书馆学报,",2008,183,175,31.300068,120.623905
"中国图书馆学报,",2008,176,176,39.991760,116.349762
"中国图书馆学报,",2009,109,104,32.110012,118.961365
"中国图书馆学报,",2010,167,160,30.536482,114.374888
"中国图书馆学报,",2010,300,300,30.536482,114.374888
"中国图书馆学报,",2011,123,119,30.536482,114.374888
"中国图书馆学报,",2011,203,202,31.228428,121.406738
"中国图书馆学报,",2011,146,139,30.536482,114.374888
"中国图书馆学报,",2011,264,256,39.987255,116.322990
"中国图书馆学报,",1992,160,159,23.092973,113.291103
"中国图书馆学报,",1999,100,100,39.929471,116.435710
"中国图书馆学报,",1999,144,135,44.551653,129.633168
"中国图书馆学报,",1997,353,347,45.708441,126.622339
"中国图书馆学报,",1997,127,126,39.717673,117.331698
"中国图书馆学报,",1997,191,191,31.230452,121.390923
"中国图书馆学报,",1998,144,144,40.411160,116.715622
"中国图书馆学报,",1999,107,106,30.537860,114.365248
"中国图书馆学报,",1999,100,100,32.085859,118.759310
"中国图书馆学报,",1999,221,221,,
"中国图书馆学报,",1999,252,248,30.537860,114.365248
"中国图书馆学报,",2012,160,159,39.987255,116.322990
"中国图书馆学报,",2012,127,127,32.034985,118.843030
"中国图书馆学报,",2012,106,103,,
"中国图书馆学报,",2012,199,195,32.109125,118.960688
"中国图书馆学报,",2012,209,205,31.185697,121.421741
"中国图书馆学报,",2014,193,193,30.315060,120.343155
"中国图书馆学报,",2014,218,213,31.226649,121.408669
"中国图书馆学报,",2015,132,131,31.186085,121.422547
"中国图书馆学报,",2015,111,111,32.116192,118.956380
"中国图书馆学报,",2000,132,132,31.296974,121.517392
"中国图书馆学报,",2000,176,172,34.747462,113.615886
"中国图书馆学报,",2000,157,157,36.052248,103.859113
"中国图书馆学报,",2000,145,145,38.074624,116.570292
"中国图书馆学报,",2000,184,184,40.410408,116.679237
"中国图书馆学报,",2000,104,101,39.988010,116.311798
"中国图书馆学报,",2000,113,112,30.537860,114.365248
"中国图书馆学报,",2000,104,104,30.537860,114.365248
"中国图书馆学报,",2000,132,131,32.058494,118.775274
"中国图书馆学报,",2000,158,158,39.988010,116.311798
"中国图书馆学报,",2000,1341,1333,30.630869,104.083748
"中国图书馆学报,",2000,203,199,32.055015,118.779430
"图书情报工作,",2012,114,114,31.316600,121.392325
"图书情报工作,",2012,108,108,24.437414,118.097385
"图书情报工作,",2004,129,128,,
"图书情报工作,",2004,152,150,30.536482,114.374888
"图书情报工作,",2005,190,188,,
"图书情报工作,",2006,143,135,31.316600,121.392325
"图书情报工作,",2006,211,211,39.987260,116.323013
"图书情报工作,",2006,104,104,38.880964,121.536417
"图书情报工作,",2007,220,217,,
"图书情报工作,",2007,100,100,32.110012,118.961365
"图书情报工作,",2007,108,108,31.316600,121.392325
"图书情报工作,",2007,177,166,30.514620,114.360757
"图书情报工作,",2008,165,164,39.987260,116.323013
"图书情报工作,",2008,171,170,40.004874,116.324691
"图书情报工作,",2008,164,164,34.238319,108.890961
"图书情报工作,",2008,465,457,39.987260,116.323013
"图书情报工作,",2008,131,131,30.536660,114.375096
"图书情报工作,",2009,106,106,39.987255,116.322990
"图书情报工作,",2009,161,150,,
"图书情报工作,",2009,485,480,30.514956,114.416344
