origin,year,citation_num,works_cited_num,lat,long
"图书情报工作,",2012,10,10,40.411160,116.715622
"图书情报工作,",2012,20,20,40.411160,116.715622
"图书情报工作,",2012,44,41,30.538467,114.348122
"图书情报工作,",2012,2,2,26.085454,119.239993
"图书情报工作,",2012,31,31,,
"图书情报工作,",2012,64,63,30.535956,114.362712
"图书情报工作,",2012,18,18,33.611936,119.003418
"图书情报工作,",2012,3,1,30.282408,120.139284
"图书情报工作,",2012,1,1,34.792565,113.541989
"图书情报工作,",2012,3,3,41.909408,123.415423
"图书情报工作,",2012,7,6,39.959910,116.368690
"图书情报工作,",2012,6,5,23.132286,113.323044
"图书情报工作,",2012,2,1,34.215423,108.904308
"图书情报工作,",2012,5,5,30.315232,120.343376
"图书情报工作,",2012,14,12,28.286737,109.725606
"图书情报工作,",2012,2,2,23.140058,113.299411
"图书情报工作,",2012,3,3,31.999023,112.041676
"图书情报工作,",2012,6,6,,
"图书情报工作,",2012,4,4,,
"图书情报工作,",2012,6,5,31.031557,121.453679
"图书情报工作,",2012,2,2,37.676571,112.748917
"图书情报工作,",2012,31,31,31.199802,121.433189
"图书情报工作,",2012,9,9,39.944001,116.286238
"图书情报工作,",2012,19,19,30.293400,120.166865
"图书情报工作,",2012,4,4,26.033463,119.208187
"图书情报工作,",2012,6,6,34.818223,113.540037
"图书情报工作,",2012,4,4,30.536482,114.374888
"图书情报工作,",2012,5,5,27.887454,112.860881
"图书情报工作,",2012,15,15,29.566956,106.469644
"图书情报工作,",2012,8,8,34.613739,112.421496
"图书情报工作,",2012,3,3,43.819345,125.432530
"图书情报工作,",2012,2,2,,
"图书情报工作,",2012,11,11,43.854536,125.335170
"图书情报工作,",2012,12,12,,
"图书情报工作,",2012,4,4,39.948400,116.308593
"图书情报工作,",2012,2,2,36.051490,103.859039
"图书情报工作,",2012,10,9,45.773729,126.682452
"图书情报工作,",2012,5,5,30.282408,120.139284
"图书情报工作,",2012,1,1,31.201782,121.458223
"图书情报工作,",2012,2,1,30.315060,120.343155
"图书情报工作,",2012,19,18,30.536482,114.374888
"图书情报工作,",2012,2,2,30.536660,114.375096
"图书情报工作,",2012,10,10,31.282650,121.507301
"图书情报工作,",2012,15,13,29.701750,115.970285
"图书情报工作,",2012,84,81,31.199802,121.433189
"图书情报工作,",2012,7,7,23.151039,113.346176
"图书情报工作,",2012,6,6,,
"图书情报工作,",2012,5,4,39.992176,116.306770
"图书情报工作,",2012,7,6,39.987255,116.322990
"图书情报工作,",2012,6,6,24.314028,109.405861
"图书情报工作,",2012,2,1,30.536660,114.375096
"图书情报工作,",2012,4,4,31.111621,121.175531
"图书情报工作,",2012,6,6,28.199482,112.982224
"图书情报工作,",2012,10,10,24.314028,109.405861
"图书情报工作,",2012,11,11,36.046363,103.860447
"图书情报工作,",2012,5,5,34.792565,113.541989
"图书情报工作,",2012,11,11,38.431289,112.727961
"图书情报工作,",2012,7,7,39.959910,116.368690
"图书情报工作,",2012,7,7,39.102994,117.165766
"图书情报工作,",2012,16,16,37.476268,121.456368
"图书情报工作,",2012,5,5,23.066533,113.391730
"图书情报工作,",2012,4,4,30.536660,114.375096
"图书情报工作,",2012,11,11,34.803361,113.662656
"图书情报工作,",2012,9,9,30.536482,114.374888
"图书情报工作,",2012,32,32,23.140058,113.299411
"图书情报工作,",2012,50,50,31.186085,121.422547
"图书情报工作,",2012,8,8,30.479230,114.306304
"图书情报工作,",2012,29,29,27.887454,112.860881
"图书情报工作,",2012,25,24,25.002958,103.048744
"图书情报工作,",2012,11,11,29.565582,106.468070
"图书情报工作,",2012,4,4,34.281568,108.940908
"图书情报工作,",2012,25,25,40.412151,116.681862
"图书情报工作,",2012,10,8,30.604692,114.357739
"图书情报工作,",2012,6,5,39.064060,121.880557
"图书情报工作,",2012,39,39,22.900194,113.876695
"图书情报工作,",2012,17,17,29.565582,106.468070
"图书情报工作,",2012,4,1,34.811509,113.509048
"图书情报工作,",2012,23,22,,
"图书情报工作,",2012,1,1,31.186085,121.422547
"图书情报工作,",2012,2,2,39.904694,119.537987
"图书情报工作,",2012,81,79,39.961865,116.357978
"图书情报工作,",2012,6,6,32.116192,118.956380
